City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
502,Tomohon,ID,1.3346,124.8392,67.14,90,98,1.01,overcast clouds
503,Hobart,AU,-42.8794,147.3294,50.05,83,100,2.3,overcast clouds
504,North Platte,US,41.1239,-100.7654,24.39,77,0,4.61,clear sky
505,Iqaluit,CA,63.7506,-68.5145,6.53,77,75,5.01,light snow
506,Mayo,US,38.8876,-76.5119,69.75,63,0,7.0,clear sky
507,Butaritari,KI,3.0707,172.7902,80.31,77,78,13.65,broken clouds
508,Torbay,CA,47.6666,-52.7314,38.5,94,100,17.27,light rain
509,Thompson,CA,55.7435,-97.8558,0.27,93,61,2.77,broken clouds
510,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
511,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
512,Hasaki,JP,35.7333,140.8333,56.21,79,3,10.11,clear sky
513,Bluff,NZ,-46.6,168.3333,48.79,89,82,8.46,broken clouds
514,Oistins,BB,13.0667,-59.5333,84.29,74,40,6.91,scattered clouds
515,Lewistown,US,40.5992,-77.5714,61.16,82,75,8.05,broken clouds
516,Tiksi,RU,71.6872,128.8694,-17.97,100,78,1.63,broken clouds
517,Atuona,PF,-9.8,-139.0333,78.55,69,1,14.81,clear sky
518,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
519,Kaitangata,NZ,-46.2817,169.8464,45.27,68,85,4.27,overcast clouds
520,Cape Town,ZA,-33.9258,18.4232,69.12,81,75,17.27,light rain
521,Tyup,KG,42.7276,78.3648,28.27,74,14,2.37,few clouds
522,Matagami,CA,49.7502,-77.6328,24.91,86,100,13.8,light snow
523,Port Moresby,PG,-9.4431,147.1797,78.22,83,20,4.61,few clouds
524,Khatanga,RU,71.9667,102.5,-23.87,98,99,8.16,overcast clouds
525,Katsuura,JP,35.1333,140.3,66.42,79,3,10.4,clear sky
526,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
527,Narsaq,GL,60.9167,-46.05,37.62,77,28,6.91,scattered clouds
528,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
